pdf_name,page_number,pdfplumber_table_found,img2table_table_found,tabula_table_found,paddle_max_probabilities,microsoft_max_probabilities,table_found
Population_Social_Statistics_Q1_2023_AE,24,False,True,False,0.52664244,0.0,False
Population_Social_Statistics_Q1_2023_AE,29,False,True,False,0.31447268,0.0,False
Population_Social_Statistics_Q1_2023_AE,31,False,True,False,0.34658667,0.0,False
Population_Social_Statistics_Q1_2023_AE,33,False,True,False,0.3100495,0.3854324519634247,False
Population_Social_Statistics_Q1_2023_AE,36,False,True,False,0.0,0.0,False
Population_Social_Statistics_Q1_2023_AE,37,False,True,False,0.0,0.5547596216201782,False
Population_Social_Statistics_Q1_2023_AE,39,False,False,False,0.38953125,0.0,False
Population_Social_Statistics_Q1_2023_AE,41,False,True,False,0.44698605,0.4685297608375549,False
Population_Social_Statistics_Q1_2023_AE,43,False,True,False,0.40156016,0.5771238803863525,False
Population_Social_Statistics_Q1_2023_AE,45,False,True,False,0.3920819,0.4338210523128509,False
Social_and_Population_1_2017_AE,1,False,False,False,0.0,0.7323917150497437,False
Social_and_Population_1_2017_AE,2,False,False,False,0.0,0.6544635891914368,False
Social_and_Population_1_2017_AE,3,False,False,False,0.35562712,0.3297013938426971,False
Social_and_Population_1_2017_AE,13,False,False,False,0.9701386,0.0,False
Social_and_Population_1_2017_AE,14,False,False,False,0.96608883,0.0,False
Social_and_Population_1_2017_AE,18,False,False,False,0.97706336,0.0,False
7_wholesale_retail_trade_2020_AE,1,False,False,False,0.0,0.628604531288147,False
7_wholesale_retail_trade_2020_AE,2,False,False,False,0.0,0.7823679447174072,False
7_wholesale_retail_trade_2020_AE,3,False,False,False,0.5075545,0.6407195329666138,False
7_wholesale_retail_trade_2020_AE,4,True,True,True,0.9735685,0.9995867609977722,True
7_wholesale_retail_trade_2020_AE,5,True,True,False,0.95212036,0.9997908473014832,True
7_wholesale_retail_trade_2020_AE,6,True,True,True,0.9748084,0.9977310299873352,True
7_wholesale_retail_trade_2020_AE,7,False,True,False,0.0,0.3879933059215545,False
7_wholesale_retail_trade_2020_AE,8,True,True,True,0.58009684,0.9937313199043274,True
7_wholesale_retail_trade_2020_AE,9,True,True,True,0.98707026,0.9998433589935304,True
7_wholesale_retail_trade_2020_AE,10,True,True,True,0.9825537,0.999816596508026,True
7_Security_2020_AE,1,False,False,False,0.0,0.6973018050193787,False
7_Security_2020_AE,2,False,False,False,0.4238719,0.5450252294540405,False
7_Security_2020_AE,3,True,True,True,0.9877129,0.999934196472168,True
7_Security_2020_AE,4,True,True,True,0.9772614,0.9993060827255248,True
7_Security_2020_AE,5,True,True,True,0.97097987,0.998894989490509,True
7_Security_2020_AE,6,True,True,True,0.98033893,0.999925136566162,True
7_Security_2020_AE,7,True,True,True,0.98409927,0.999874234199524,True
7_Security_2020_AE,8,True,True,True,0.98228395,0.9998089671134948,True
7_Security_2020_AE,9,True,True,True,0.9703195,0.998709201812744,True
7_Security_2020_AE,10,True,True,True,0.96054274,0.999692440032959,True
7_Security_2020_AE,11,True,True,True,0.9595807,0.9998331069946288,True
7_Security_2020_AE,12,True,True,True,0.98488164,0.998479664325714,True
7_Security_2020_AE,13,False,True,True,0.9694283,0.999309539794922,True
7_Security_2020_AE,14,False,True,True,0.98684853,0.6399344205856323,False
7_Security_2020_AE,15,True,True,True,0.9812961,0.9995809197425842,True
7_Security_2020_AE,16,False,True,True,0.9674753,0.9993601441383362,True
7_Security_2020_AE,17,False,True,False,0.96445185,0.6863072514533997,False
7_Security_2020_AE,18,False,True,True,0.9435904,0.9960034489631652,True
7_Security_2020_AE,19,True,True,True,0.98352575,0.999796450138092,True
7_Security_2020_AE,20,True,True,True,0.9851135,0.9998679161071776,True
7_Security_2020_AE,21,True,True,True,0.89569235,0.9993093013763428,True
7_Security_2020_AE,22,True,True,True,0.98105264,0.9998677968978882,True
7_Security_2020_AE,23,True,True,True,0.97154075,0.998889982700348,True
7_Security_2020_AE,24,False,True,True,0.96779245,0.9992710947990416,True
